Select Printer,Printer Requested,Material 1 Qty,User Type,Material 1,Printed On,Print Time (Hours),Material_Category1
35,0,6.0,2,8,0,1,3
18,0,126.66,2,4,0,3,0
27,0,64.57,2,8,0,1,3
12,1,6.0,2,24,1,1,4
25,0,79.66,1,8,0,3,3
26,0,0.0,1,8,0,3,3
34,0,220.64,0,8,0,7,3
30,0,101.27,2,3,0,4,0
35,0,129.19,2,8,0,12,3
24,0,20.73,2,8,0,2,3
0,0,10.64,2,10,0,1,0
24,0,10.0,1,8,0,2,3
34,0,13.33,2,8,0,1,3
20,0,11.23,2,0,0,1,0
24,0,2.11,2,8,0,1,3
23,0,228.0,2,8,0,20,3
23,0,4.0,2,8,0,1,3
35,0,22.11,2,8,0,1,3
2,0,0.0,2,8,0,2,3
29,0,563.54,2,8,0,17,3
18,0,28.58,2,4,0,3,0
20,0,27.02,0,0,0,2,0
35,0,17.0,0,8,0,1,3
29,0,99.0,2,8,0,4,3
26,0,241.81,0,8,0,9,3
34,0,347.19,0,8,0,7,3
35,0,524.0,2,8,0,9,3
8,1,3.75,1,12,1,2,0
8,1,4.01,1,12,1,2,0
23,0,64.99,0,8,0,3,3
24,0,33.0,2,8,0,1,3
30,0,0.0,2,8,0,1,3
27,0,67.79,2,8,0,2,3
3,0,74.26,2,8,0,3,3
29,0,10.04,2,8,0,1,3
3,0,2.76,2,8,0,1,3
2,0,129.28,2,8,0,3,3
35,0,77.52,2,8,0,3,3
25,0,0.0,2,8,0,2,3
29,0,8.11,2,8,0,1,3
34,0,0.0,2,8,0,1,3
28,0,2.65,2,8,0,1,3
23,0,14.33,2,8,0,1,3
25,0,1.6,2,0,0,1,0
21,0,109.0,2,8,0,3,3
24,0,0.001,2,8,0,4,3
30,0,127.0,2,8,0,5,3
25,0,0.0,2,0,0,5,0
25,0,11.26,1,8,0,1,3
29,0,192.84,2,8,0,6,3
18,0,43.71,1,5,0,4,0
24,0,0.001,2,8,0,4,3
20,0,33.72,1,8,0,1,3
43,0,0.001,2,8,0,13,3
21,0,28.04,2,8,0,7,3
16,1,1.04,1,24,1,2,4
26,0,347.19,0,8,0,7,3
34,0,347.19,0,8,0,7,3
27,0,347.19,0,8,0,7,3
23,0,38.0,2,8,0,2,3
0,0,2.93,2,10,0,1,0
29,0,2.74,2,8,0,1,3
37,5,0.0,2,29,5,2,3
8,1,96.96,1,12,1,11,0
34,0,24.8,2,8,0,1,3
12,1,58.57,1,24,1,2,4
24,0,23.26,2,8,0,1,3
29,0,12.4,2,8,0,1,3
27,0,208.19,0,8,0,7,3
29,0,19.25,2,8,0,1,3
26,0,39.64,1,8,0,1,3
27,0,5.61,2,8,0,1,3
28,0,79.3,2,8,0,3,3
23,0,86.0,2,8,0,4,3
18,0,25.44,2,5,0,1,0
34,0,107.51,2,8,0,3,3
3,0,73.8,2,8,0,2,3
21,0,384.3,2,8,0,11,3
2,0,0.0,2,8,0,6,3
26,0,92.0,2,8,0,3,3
26,0,347.19,0,8,0,7,3
12,1,108.12,1,24,1,1,4
25,0,90.24,1,8,0,3,3
28,0,301.04,2,8,0,8,3
18,0,90.89,2,8,0,6,3
2,0,0.0,2,8,0,6,3
23,0,1.48,2,8,0,1,3
12,1,108.12,1,24,1,1,4
21,0,45.0,2,8,0,1,3
27,0,0.0,2,8,0,2,3
26,0,5.91,2,8,0,1,3
24,0,38.0,0,8,0,2,3
0,0,0.94,2,8,0,1,3
21,0,60.0,2,8,0,1,3
23,0,28.96,2,8,0,2,3
1,0,19.91,2,8,0,1,3
28,0,38.94,2,8,0,1,3
3,0,19.68,2,8,0,1,3
35,0,712.0,2,8,0,29,3
43,0,206.22,2,8,0,4,3
12,1,64.19,2,24,1,1,4
23,0,137.52,2,8,0,4,3
16,1,109.0,2,23,1,2,4
12,1,63.85,2,24,1,3,4
30,0,86.9,2,3,0,4,0
28,0,25.0,2,8,0,1,3
26,0,85.0,1,8,0,3,3
11,1,44.85,2,15,1,3,0
21,0,105.0,2,8,0,3,3
34,0,232.0,1,8,0,7,3
23,0,0.0,2,8,0,6,3
29,0,84.65,2,8,0,3,3
34,0,0.0,2,8,0,3,3
21,0,19.2,2,8,0,2,3
35,0,249.0,2,8,0,7,3
24,0,463.0,2,8,0,10,3
28,0,46.53,2,8,0,2,3
43,0,285.9,2,8,0,10,3
38,5,137.0,2,29,5,10,3
23,0,0.0,2,8,0,1,3
35,0,7.44,2,8,0,1,3
29,0,22.55,2,8,0,1,3
6,1,3.46,1,12,1,2,0
29,0,8.9,2,8,0,1,3
29,0,48.13,2,8,0,1,3
35,0,9.58,2,8,0,1,3
34,0,0.0,2,8,0,1,3
27,0,72.24,2,8,0,5,3
15,1,28.0,2,21,1,1,4
23,0,0.0,2,8,0,3,3
29,0,26.0,2,8,0,1,3
3,0,2.98,2,8,0,1,3
26,0,0.0,0,8,0,1,3
20,0,38.34,1,0,0,2,0
35,0,27.75,2,7,0,1,3
24,0,97.0,2,8,0,3,3
3,0,74.44,1,8,0,2,3
27,0,0.0,2,8,0,1,3
35,0,5.26,1,8,0,1,3
26,0,40.44,2,8,0,1,3
35,0,22.23,2,8,0,1,3
12,1,101.13,1,24,1,2,4
24,0,71.0,2,8,0,2,3
23,0,268.01,2,8,0,7,3
21,0,262.7,2,8,0,7,3
34,0,164.59,2,8,0,4,3
24,0,12.2,2,8,0,1,3
29,0,193.28,2,8,0,7,3
3,0,75.19,2,7,0,4,3
10,1,63.8,2,19,1,6,0
24,0,15.17,0,8,0,1,3
27,0,44.0,1,8,0,1,3
23,0,0.0,2,8,0,5,3
3,0,0.0,2,8,0,1,3
28,0,11.3,0,8,0,1,3
24,0,2.93,2,8,0,1,3
26,0,181.79,2,8,0,5,3
35,0,98.0,2,8,0,4,3
24,0,2.84,2,8,0,1,3
2,0,0.0,2,8,0,3,3
27,0,116.41,2,8,0,3,3
3,0,92.83,2,8,0,2,3
27,0,7.8,1,8,0,1,3
29,0,26.7,2,8,0,2,3
27,0,2.98,2,8,0,1,3
34,0,32.27,2,8,0,3,3
38,5,15.0,2,29,5,1,3
2,0,16.04,2,8,0,1,3
20,0,7.17,2,0,0,1,0
35,0,118.09,2,8,0,2,3
1,0,235.04,2,8,0,11,3
28,0,68.61,2,8,0,3,3
21,0,149.96,2,8,0,4,3
24,0,121.17,2,8,0,3,3
23,0,44.7,2,8,0,4,3
19,0,60.0,1,9,0,1,3
